"","canal","qualidade","percentual","impressoes"
"530","TV Tribuna","4.75 Mbps",0,0
"531","TV Tribuna","5.25 Mbps",0,0
"532","TV Tribuna","5.75 Mbps",0,0
"533","TV Tribuna","6.25 Mbps",0,0
"534","Inter TV MG","0.25 Mbps",0,0
"535","Inter TV MG","0.75 Mbps",12.5,1
"536","Inter TV MG","1.25 Mbps",25,2
"537","Inter TV MG","1.75 Mbps",0,0
"538","Inter TV MG","2.25 Mbps",62.5,5
"539","Inter TV MG","2.75 Mbps",0,0
"540","Inter TV MG","3.25 Mbps",0,0
"541","Inter TV MG","3.75 Mbps",0,0
"542","Inter TV MG","4.25 Mbps",0,0
"543","Inter TV MG","4.75 Mbps",0,0
"544","Inter TV MG","5.25 Mbps",0,0
"545","Inter TV MG","5.75 Mbps",0,0
"546","Inter TV MG","6.25 Mbps",0,0
"547","TV Gazeta - AL","0.25 Mbps",0,0
"548","TV Gazeta - AL","0.75 Mbps",0,0
"549","TV Gazeta - AL","1.25 Mbps",0,0
"550","TV Gazeta - AL","1.75 Mbps",0,0
"551","TV Gazeta - AL","2.25 Mbps",100,2
"552","TV Gazeta - AL","2.75 Mbps",0,0
"553","TV Gazeta - AL","3.25 Mbps",0,0
